CNA-SMN-SPMLP-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JUNIO 2018
 
ESTACION  : 26002
NOMBRE    : ALAMOS
ESTADO    : SONORA
MUNICIPIO : ALAMOS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0027.033 o (grados)
LONGITUD  : -108.950 o
ALTITUD   : 400 msnm
 
EMISION   : 21/06/2018 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     oC     oC 
---------- ------ ------ ------ ------
01/01/1961  0      2      22.5   6 
02/01/1961  0      1.1    25     9 
03/01/1961  0      3.4    27.5   9 
04/01/1961  0      2.4    27.5   11 
05/01/1961  7.4    6      22     13.5 
06/01/1961  0      4      21.5   11 
07/01/1961  0      3.6    23.5   9 
08/01/1961  0      2.8    27.5   10 
09/01/1961  0      2.3    29.5   10 
10/01/1961  0      3.6    29.5   9.5 
11/01/1961  0      3.6    29.5   11.5 
12/01/1961  0      4.8    29     11 
13/01/1961  0      1.9    28.5   9 
14/01/1961  0      3.6    28.5   11 
15/01/1961  0      3.4    29.5   8.5 
16/01/1961  0      3.4    30     9.5 
17/01/1961  11     2.1    26     13.5 
18/01/1961  9.5    1.3    19.5   16.5 
19/01/1961  20.5   0.6    20.5   17 
20/01/1961  14.2   0.3    21     11.5 
21/01/1961  0      1.8    21.5   16.5 
22/01/1961  6      4.3    23.5   14 
23/01/1961  16.4   0.8    17     14.5 
24/01/1961  0      2.9    22.5   14.5 
25/01/1961  0      5      23     9 
26/01/1961  0      2.8    25.5   10 
27/01/1961  0      2.6    26.5   8.5 
28/01/1961  0      2.6    23     9.5 
29/01/1961  0      2.1    26     10 
30/01/1961  0      2.4    26.5   11.5 
31/01/1961  0      3.6    28    Nulo
01/02/1961  0      5      28     10.5 
02/02/1961  0      5.5    27     10 
03/02/1961  0      3.7    26.5   9.5 
04/02/1961  0      3.4    26.5   5 
05/02/1961  0      4.6    22.5   6.5 
06/02/1961  0      2.4    22     3.5 
07/02/1961  0      2.1    24     3.5 
08/02/1961  0      2.8    26.5   6 
09/02/1961  0      4.1    26.5   9 
10/02/1961  0      4.5    29.5   8 
11/02/1961  0      4.7    32     7.5 
12/02/1961  0      5.1    33     9.5 
13/02/1961  0      3      29.5   10.5 
14/02/1961  0      4.4    30     13.5 
15/02/1961  0      4.7    30.5   10 
16/02/1961  0      4.2    29.5   8.5 
17/02/1961  0      4.3    26.5   6.5 
18/02/1961  0      4.6    26.5   6.5 
19/02/1961  0      4.7    24     9 
20/02/1961  0      5      23.5   5.5 
21/02/1961  0      4.8    22.5   7 
22/02/1961  0      4.8    28.5   7 
23/02/1961  0      4.6    27     7.5 
24/02/1961  0      5.1    27     8.5 
25/02/1961  0      5.6    32     10 
26/02/1961  0      6.6    31     5.5 
27/02/1961  0      5.6    30.5   6 
28/02/1961  0      4.1    30.5   7 
01/03/1961  0      5.4    31.5   9 
02/03/1961  0      6.4    32     8.5 
03/03/1961  0      7.8    29     6.5 
04/03/1961  0      6.5    27     9.5 
05/03/1961  0      4.4    27.5   7.5 
06/03/1961  0      5.6    29.5   7.5 
07/03/1961  0      6.2    29.5   10 
08/03/1961  0      7.2    36.5   13 
09/03/1961  0      8.6    35.5   12.5 
10/03/1961  0      7.5    31.5   16.5 
11/03/1961  0      7      30     9 
12/03/1961  0      5.3    31.5   8.5 
13/03/1961  0      5.9    33     10.5 
14/03/1961  0      5.9    31     7.5 
15/03/1961  0      5.1    30     11.5 
16/03/1961  0      5.9    26.5   9.5 
17/03/1961  0      5.5    27     7.5 
18/03/1961  0      6.4    28     6 
19/03/1961  0      5.9    28.5   5.5 
